Trial,F,Q,S,I,Total,Discount Break,F,Q,S,I,Total
1,3.04E+06,3.55E+07,3.44E+08,3.64E+05,3.83E+08,1.00E+02,3.04,35.47,344.46,0.36,383.32
2,3.05E+06,3.55E+07,3.44E+08,3.64E+05,3.83E+08,1.61E+02,3.05,35.47,344.06,0.36,382.95
3,3.05E+06,3.55E+07,3.43E+08,3.65E+05,3.82E+08,2.59E+02,3.05,35.48,343.45,0.36,382.35
4,3.05E+06,3.55E+07,3.42E+08,3.65E+05,3.81E+08,4.17E+02,3.05,35.51,342.45,0.36,381.37
5,3.05E+06,3.55E+07,3.41E+08,3.65E+05,3.80E+08,6.72E+02,3.05,35.54,340.85,0.36,379.80
6,3.29E+06,3.56E+07,3.38E+08,3.65E+05,3.77E+08,1.08E+03,3.29,35.58,337.98,0.36,377.21
7,3.29E+06,3.57E+07,3.34E+08,3.65E+05,3.73E+08,1.74E+03,3.29,35.65,333.79,0.37,373.10
8,3.29E+06,3.57E+07,3.28E+08,3.66E+05,3.67E+08,2.81E+03,3.29,35.71,327.96,0.37,367.34
9,3.29E+06,3.59E+07,3.20E+08,3.67E+05,3.59E+08,4.25E+03,3.29,35.86,319.70,0.37,359.21
10,3.37E+06,3.63E+07,3.07E+08,3.69E+05,3.47E+08,7.28E+03,3.37,36.25,307.30,0.37,347.29
11,3.82E+06,4.01E+07,2.90E+08,3.75E+05,3.35E+08,1.18E+04,3.82,40.10,290.22,0.38,334.52
12,3.29E+06,3.56E+07,2.72E+08,3.70E+05,3.11E+08,1.89E+04,3.29,35.63,271.62,0.37,310.91
13,3.61E+06,4.04E+07,2.40E+08,3.72E+05,2.85E+08,3.04E+04,3.61,40.40,240.44,0.37,284.82
14,3.67E+06,4.12E+07,2.07E+08,3.71E+05,2.53E+08,4.89E+04,3.67,41.21,207.29,0.37,252.53
15,3.35E+06,3.23E+07,2.14E+08,3.80E+05,2.50E+08,7.88E+04,3.35,32.33,213.52,0.38,249.58
16,3.97E+06,3.30E+07,1.63E+08,3.81E+05,2.00E+08,1.27E+05,3.97,32.98,162.67,0.38,200.00
17,5.18E+06,1.17E+07,1.06E+08,3.92E+05,1.23E+08,2.04E+05,5.18,11.75,105.54,0.39,122.85
18,5.63E+06,1.12E+07,8.34E+07,4.00E+05,1.01E+08,3.29E+05,5.63,11.24,83.41,0.40,100.67
19,4.03E+06,1.22E+07,8.06E+07,4.03E+05,9.72E+07,5.30E+05,4.03,12.23,80.58,0.40,97.25
20,2.19E+06,1.19E+07,8.06E+07,3.93E+05,9.50E+07,8.53E+05,2.19,11.88,80.57,0.39,95.03
21,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,1.37E+06,2.12,11.81,78.57,0.39,92.89
22,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,2.21E+06,2.12,11.81,78.57,0.39,92.89
23,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,3.56E+06,2.12,11.81,78.57,0.39,92.89
24,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,5.74E+06,2.12,11.81,78.57,0.39,92.89
25,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,9.24E+06,2.12,11.81,78.57,0.39,92.89
26,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,1.49E+07,2.12,11.81,78.57,0.39,92.89
27,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,2.40E+07,2.12,11.81,78.57,0.39,92.89
28,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,3.87E+07,2.12,11.81,78.57,0.39,92.89
29,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,6.21E+07,2.12,11.81,78.57,0.39,92.89
30,2.12E+06,1.18E+07,7.86E+07,3.87E+05,9.29E+07,1.00E+08,2.12,11.81,78.57,0.39,92.89
