antigen,demands,prob,demand_SID
Diphtheria,"[570550200, 619539900, 626455400, 594496900, 595980200, 587103300, 593084700, 587954100, 594707400, 600159000]",0.8,1
Diphtheria,"[690293000, 540644300, 663354000, 1033467400, 832363600, 964285900, 1484889200, 781961600, 1006661500, 199939900]",0.018800000000000004,2
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.08240000000000003,3
Diphtheria,"[596906900, 558336500, 812533400, 660834400, 686912400, 1059413800, 1410783900, 1252908300, 953910300, 1577938400]",0.07720000000000003,4
Diphtheria,"[743387800, 718494700, 836301100, 720152500, 761304900, 1033130400, 1046414400, 1046244900, -2147483648, 1368714300]",0.021600000000000005,5
HPV,"[18988200, 18779800, 27460000, 72849500, 92670600, 64703800, 42237000, 42368400, 33730500, 35038500]",0.8,1
HPV,"[27408100, 36795300, 44960900, 42153100, 54014700, 57247900, 67205500, 74837800, 78713600, 88601800]",0.03400000000000001,2
HPV,"[29278100, 34529800, 41314600, 46831600, 52100600, 61799200, 68661300, 71927100, 88594400, 94993400]",0.06360000000000002,3
HPV,"[26509800, 35593800, 41761900, 46914800, 51357500, 59171600, 66488200, 73483500, 84634900, 80794100]",0.06240000000000001,4
HPV,"[26621500, 38049900, 42725200, 46993500, 54230900, 60065400, 65293500, 74388900, 68226900, 92640900]",0.040000000000000015,5
Hepatitis_B,"[312284600, 343008200, 351717800, 334973600, 334455600, 328430100, 332308900, 328200500, 332214900, 335525400]",0.8,1
Hepatitis_B,"[410703700, 394726600, 455058800, 440667600, 324876000, 458683900, 473285200, 433237300, 448206300, 436645900]",0.050000000000000024,2
Hepatitis_B,"[367899800, 397096100, 371863600, 396265400, 481334800, 460819700, 394718400, 307416400, 352012500, 467247100]",0.06600000000000002,3
Hepatitis_B,"[398538000, 411746900, 404101000, 294154800, 354466900, 365673200, 370291900, 345678000, 544177700, 350602700]",0.04560000000000002,4
Hepatitis_B,"[358192200, 354219100, 361021300, 411500900, 475530300, 470809100, 452294400, 416526500, 568066500, 503505000]",0.03840000000000002,5
Hib,"[259536200, 282777100, 287252900, 274027900, 274339400, 270041300, 273119600, 270415600, 273713400, 276715500]",0.8,1
Hib,"[308462400, 308564000, 317849200, 348113400, 353835500, 364190100, 361704000, 387351100, 363068900, 408753500]",0.06600000000000002,2
Hib,"[296797500, 286435900, 324747800, 327110000, 358279900, 386356000, 373120300, 367969400, 422523900, 380845900]",0.05040000000000003,3
Hib,"[290485200, 340862100, 301672100, 347190200, 369051400, 309998000, 379238500, 385344800, 435675100, 417032400]",0.04560000000000002,4
Hib,"[292457000, 315010000, 326207300, 332843200, 350062400, 362530200, 399440500, 394371600, 351868000, 351641500]",0.03800000000000001,5
Measles,"[420097000, 358616900, 394831600, 346093200, 377569100, 407486200, 271512200, 386591100, 290515900, 326808200]",0.8,1
Measles,"[520688600, 599384600, 741765500, 584291600, 610795400, 751325700, 699010900, 831020100, 825941600, 1061105100]",0.05720000000000001,2
Measles,"[558200700, 568584000, 470701300, 569931600, 693752000, 880470900, 794733300, 944858600, 1111350000, 635813500]",0.06320000000000002,3
Measles,"[396235400, 525423200, 507983700, 478856400, 600172200, 551044600, 684851800, 969568700, 991050500, 1391486700]",0.04520000000000002,4
Measles,"[403209300, 477992600, 574350300, 589385100, 625684300, 571410200, 1164655200, 647187900, 942801300, 1502330400]",0.03440000000000001,5
Mumps,"[26052200, 26626400, 25785400, 25268100, 23536200, 16205400, 18650400, 8909600, 10718500, 12977700]",0.8,1
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.05600000000000001,2
Mumps,"[25298900, 35825600, 28309600, 34167200, 56941500, 34282800, 52971000, 61662700, 54703300, 79141000]",0.05840000000000001,3
Mumps,"[20805100, 27986400, 29062300, 31362300, 32914000, 34978900, 49196300, 36209300, 95135900, 77415800]",0.040000000000000015,4
Mumps,"[28568900, 44316300, 29910400, 42925000, 43035900, 34138600, 37070300, 62755300, 51887400, 32244300]",0.04560000000000002,5
PCV,"[160800200, 186996100, 209165500, 205938500, 220998700, 219106600, 222271100, 217335600, 218764600, 220234300]",0.8,1
PCV,"[229980600, 255538100, 322750600, 318306500, 363296300, 369410900, 285323300, 435396500, 470226400, 530917400]",0.05560000000000001,2
PCV,"[217304000, 262275300, 327108600, 328942400, 372129800, 353796500, 370562100, 492289800, 466028200, 179323800]",0.048400000000000026,3
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.05040000000000003,4
PCV,"[217608200, 267216900, 253205600, 301483300, 300469200, 342484400, 447616200, 324915700, 327715900, 505043600]",0.04560000000000002,5
Pertussis,"[320662700, 347414000, 352464600, 335977000, 334855300, 328035800, 331237500, 328308900, 331462200, 334312000]",0.8,1
Pertussis,"[330913600, 348707600, 372077900, 358905200, 359328000, 361641600, 392197100, 366714000, 428874500, 446770700]",0.06200000000000001,2
Pertussis,"[376053500, 329574100, 385604700, 351618800, 410530100, 375193000, 363350500, 364705100, 397681100, 335678000]",0.03920000000000001,3
