antigen,demand,probability,demand_SID
Measles,"[420097004.28939533, 368299543.3821963, 405492086.93502706, 355437672.1480285, 387763440.53392655, 418488316.4612758, 278842997.107723, 397029089.4291264, 298359781.39149034, 335631994.04001856]",1,1
Mumps,"[357331305.3951636, 260869729.0725358, 312846193.9051979, 284369932.411924, 299213686.82466215, 396979348.5165761, 266069612.36597544, 396105087.8736147, 297411369.3627394, 334654742.7247464]",1,1
Rubella,"[331279149.4189564, 233524417.62887722, 286364562.4296617, 258419593.155864, 275041967.2127786, 380336386.3026387, 246915621.14448732, 386954898.42531806, 286403511.07822484, 321326687.20403224]",1,1
Diphtheria,"[570550152.3038142, 636267493.3239245, 643369696.6070285, 610548331.2189047, 612071667.3667012, 602955044.4984419, 609098005.830808, 604125486.3658876, 611064389.6977195, 616666144.0423414]",1,1
Tetanus,"[577730183.053466, 643262431.1829407, 650376997.457045, 617569069.3380963, 615042447.4861296, 605971200.9508419, 612158027.728013, 607226022.6514009, 614204184.1536994, 619839029.9086429]",1,1
Pertussis,"[320662741.753207, 356794202.2936529, 361981121.23909605, 345048428.60892624, 343896351.26947916, 336892783.44739443, 340180910.30911165, 337469874.2925558, 340711626.78069687, 343641293.0270527]",1,1
Hepatitis_B,"[59502552.14408625, 68629024.71901894, 72865268.80804664, 68936698.3000516, 68116933.6264009, 66375003.21328669, 67235123.37105815, 65839715.532202356, 66632012.575853065, 67012501.776094265]",1,1
Hib,"[522182008.8920537, 597901203.8830113, 625064822.6212021, 606638204.7128298, 607720572.8583848, 587960566.202015, 134356377.91094553, 132282803.91718172, 134638983.21643308, 136848675.98947772]",1,1
Polio,"[522182008.8920537, 597901203.8830113, 625064822.6212021, 606638204.7128298, 607720572.8583848, 587960566.202015, 134356377.91094553, 132282803.91718172, 134638983.21643308, 136848675.98947772]",1,1
HPV,"[18988209.72133722, 19286890.403623413, 28201395.981749475, 74816423.55173364, 95172711.54246174, 66450775.624775775, 43377372.99142657, 43512381.92054419, 34641189.472128965, 35984585.712862946]",1,1
Rotavirus,"[142479003.3677863, 170915478.97005376, 178442683.0763382, 191359235.90420714, 203005331.3863934, 211204939.45211437, 215210771.23504257, 212954149.96250454, 215265657.58980373, 217521514.4431669]",1,1
PCV,"[160800233.02991807, 192044991.15730911, 214812933.47590438, 211498789.45455238, 226965632.48700902, 225022459.42204043, 228272436.549378, 223203631.93549865, 224671214.18606165, 226180575.91757733]",1,1
