antigen,demand,probability,demand_SID
Measles,"[441101854.5038651, 386714520.5513061, 425766691.28177845, 373209555.7554299, 407151612.5606229, 439412732.2843396, 292785146.96310914, 416880543.90058273, 313277770.4610649, 352413593.7420195]",1.0,1
Mumps,"[375197870.6649218, 273913215.5261626, 328488503.60045785, 298588429.03252023, 314174371.1658953, 416828315.9424049, 279373092.9842742, 415910342.2672955, 312281937.83087635, 351387479.8609837]",1.0,1
Rubella,"[347843106.88990426, 245200638.51032108, 300682790.5511448, 271340572.8136572, 288794065.57341754, 399353205.6177707, 259261402.20171168, 406302643.34658396, 300723686.6321361, 337393021.56423384]",1.0,1
Diphtheria,"[599077659.9190049, 668080867.9901208, 675538181.43738, 641075747.77985, 642675250.7350364, 633102796.7233641, 639552906.1223484, 634331760.684182, 641617609.1826055, 647499451.2444584]",1.0,1
Tetanus,"[606616692.2061393, 675425552.7420878, 682895847.3298973, 648447522.8050011, 645794569.8604362, 636269760.998384, 642765929.1144137, 637587323.783971, 644914393.3613844, 650830981.404075]",1.0,1
Pertussis,"[336695878.8408674, 374633912.40833557, 380080177.30105084, 362300850.03937256, 361091168.83295316, 353737422.61976415, 357189955.82456726, 354343368.0071836, 357747208.1197317, 360823357.67840534]",1.0,1
Hepatitis_B,"[62477679.75129057, 72060475.95496988, 76508532.24844897, 72383533.21505418, 71522780.30772094, 69693753.37395103, 70596879.53961106, 69131701.30881247, 69963613.20464572, 70363126.86489898]",1.0,1
Hib,"[548291109.3366565, 627796264.0771619, 656318063.7522622, 636970114.9484713, 638106601.5013041, 617358594.5121158, 141074196.8064928, 138896944.1130408, 141370932.37725472, 143691109.7889516]",1.0,1
Polio,"[548291109.3366565, 627796264.0771619, 656318063.7522622, 636970114.9484713, 638106601.5013041, 617358594.5121158, 141074196.8064928, 138896944.1130408, 141370932.37725472, 143691109.7889516]",1.0,1
HPV,"[19937620.207404085, 20251234.923804585, 29611465.78083695, 78557244.72932033, 99931347.11958483, 69773314.40601456, 45546241.6409979, 45688001.0165714, 36373248.94573542, 37783814.99850609]",1.0,1
Rotavirus,"[149602953.5361756, 179461252.91855645, 187364817.2301551, 200927197.6994175, 213155597.95571306, 221765186.4247201, 225971309.7967947, 223601857.46062976, 226028940.46929392, 228397590.16532525]",1.0,1
PCV,"[168840244.68141398, 201647240.7151746, 225553580.1496996, 222073728.92728, 238313914.11135948, 236273582.39314246, 239686058.3768469, 234363813.5322736, 235904774.89536473, 237489604.7134562]",1.0,1
