unit,values,type,pair_idx,pair,pair_probability
Diphtheria,"[670487400 735223400 677717200 802467500 967639900 1081033700 1100762400
 1063053300 2147483648 1209481000]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
HPV,"[30334800 35937000 39631100 46530800 51332300 61773100 70626000 77523300
 90316100 96557800]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Hepatitis_B,"[370407500 444508300 399556600 426122800 423485500 418566300 307698900
 354228100 613698000 433404100]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Hib,"[281761500 293066700 346902200 330750100 358004200 351235200 328019400
 360224500 420677000 368138300]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Measles,"[353668900 489897600 638311200 403718000 676101000 661328300 1003061300
 815416800 1187197600 547798800]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Mumps,"[25649100 28849400 39045200 39722700 36402400 27034800 45075800 60712500
 54612500 29676400]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
PCV,"[211790700 226310500 305294700 272866400 319420400 420952100 428136200
 287020700 528636500 318672000]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Pertussis,"[351095500 342628700 356906100 342541800 348739500 360337100 381747400
 376965100 330916900 258759400]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Polio,"[614187100 654523900 665289500 726314000 767137300 824302900 825918000
 838587200 825905500 1162269500]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Rotavirus,"[209202600 181239300 315516000 294039300 257511300 381815400 479180500
 492327200 991227200 307926400]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Rubella,"[337697800 430499200 284148500 402899500 427746000 632589800 549036000
 518741000 566111500 368942400]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
Tetanus,"[615261700 628073100 584840600 659296500 664099600 698020100 751701100
 551029500 767677700 776856700]",antigen,1,Demand: 4 - Capacity: base_capacity,0.1077504
AJ_Vaccines,"[7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
BB_NCIPD,"[39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Bharat_Biotech,"[61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Bilthoven,"[12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Biological_E,"[164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
China_National,"[12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
GSK,"[226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Haffkine_Bio,"[80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
LG_Chem,"[43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Merck_Sharp,"[56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
PT_Bio,"[45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Panacea_Biotec,"[10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Pfizer,"[83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Sanofi,"[87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Serum_Institute,"[587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0]",manufacturer,1,Demand: 4 - Capacity: base_capacity,0.1077504
Diphtheria,"[698092700 777470800 820389200 835304100 942971100 833464100 1345958700
 1491305500 1224775600 2147483648]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
HPV,"[28964500 35811700 38689000 46939600 51718400 58695200 66608700 67270900
 90442800 82309200]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Hepatitis_B,"[367794100 400191400 379740400 437196300 360947900 378720600 362889600
 417680100 270106000 367548300]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Hib,"[316433200 302792900 339239700 342566800 332089500 350984400 383264800
 392851900 363416400 425222700]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Measles,"[463676600 570622500 454167100 806025900 848281600 705620500 761611500
 677237400 823511600 633617500]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Mumps,"[23093500 24442800 27787300 44732600 31925200 33114600 54943500 65230000
 78861900 67219600]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
PCV,"[228140100 293972900 280196100 344667600 315166900 378101600 402441200
 580352000 312482300 334129000]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Pertussis,"[364692000 345936400 359926400 368572400 330632300 357802900 369397300
 295244400 427464000 371042600]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Polio,"[603345500 655574500 694963800 708181800 677996900 840687100 808107400
 861154600 1059663600 980287300]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Rotavirus,"[157053900 184442900 251870200 182109400 303972700 302459400 413883000
 550021000 455392700 284730800]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Rubella,"[407188800 390935900 580177400 403616000 489912100 721479200 587356700
 522360700 605891600 1007629000]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
Tetanus,"[615050500 621090700 637994400 671745700 776966300 708346100 703875400
 749080900 712086700 690684800]",antigen,2,Demand: 3 - Capacity: base_capacity,0.2542236
AJ_Vaccines,"[7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
BB_NCIPD,"[39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Bharat_Biotech,"[61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Bilthoven,"[12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Biological_E,"[164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
China_National,"[12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
GSK,"[226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Haffkine_Bio,"[80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
LG_Chem,"[43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Merck_Sharp,"[56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
PT_Bio,"[45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Panacea_Biotec,"[10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
