manufacturer,capacity_scenario,capacity_scenario_probability,capacity
AJ_Vaccines,base_capacity,1,"[8173000.000000001, 11220000.0, 13090000.000000002, 13090000.000000002, 12980000.000000002, 12870000.000000002, 13090000.000000002, 12870000.000000002, 13090000.000000002, 13310000.000000002]"
BB_NCIPD,base_capacity,1,"[57200000.00000001, 63580000.00000001, 64020000.00000001, 60500000.00000001, 60280000.00000001, 59950000.00000001, 60390000.00000001, 59950000.00000001, 60720000.00000001, 61380000.00000001]"
Bharat_Biotech,base_capacity,1,"[75339000.0, 83358000.0, 84843000.0, 82170000.0, 82665000.0, 79893000.0, 5346000.0, 5286600.0, 5346000.0, 5405400.0]"
Bilthoven,base_capacity,1,"[12760000.000000002, 17490000.0, 20460000.0, 20350000.0, 20350000.0, 20020000.0, 20460000.0, 20130000.0, 20460000.0, 20790000.0]"
Biological_E,base_capacity,1,"[183700000.0, 204600000.00000003, 206800000.00000003, 196900000.00000003, 194700000.00000003, 190300000.00000003, 742500000.0000001, 739200000.0000001, 742500000.0000001, 744700000.0000001]"
China_National,base_capacity,1,"[15290000.000000002, 16720000.000000002, 17380000.0, 18700000.0, 19470000.0, 17710000.0, 1749000.0000000002, 1749000.0000000002, 1397000.0, 1452000.0000000002]"
GSK,base_capacity,1,"[353100000.0, 370700000.00000006, 405900000.00000006, 411400000.00000006, 436700000.00000006, 470800000.00000006, 394900000.00000006, 432300000.00000006, 404800000.00000006, 418000000.00000006]"
Haffkine_Bio,base_capacity,1,"[112200000.00000001, 123200000.00000001, 125400000.00000001, 121000000.00000001, 121000000.00000001, 116600000.00000001, 0.0, 0.0, 0.0, 0.0]"
LG_Chem,base_capacity,1,"[87230000.0, 99550000.00000001, 103400000.00000001, 98450000.00000001, 98010000.00000001, 96140000.00000001, 97350000.00000001, 95920000.00000001, 97130000.00000001, 98120000.00000001]"
Merck_Sharp,base_capacity,1,"[18590000.0, 18810000.0, 27500000.000000004, 73040000.0, 92950000.00000001, 64900000.00000001, 42350000.0, 42460000.0, 33770000.0, 35090000.0]"
PT_Bio,base_capacity,1,"[15400000.000000002, 17160000.0, 17490000.0, 16720000.000000002, 16720000.000000002, 16390000.000000002, 15180000.000000002, 15070000.000000002, 15290000.000000002, 15400000.000000002]"
Panacea_Biotec,base_capacity,1,"[99660000.00000001, 118800000.00000001, 133100000.00000001, 130900000.00000001, 140800000.0, 139700000.0, 141900000.0, 138600000.0, 139700000.0, 139700000.0]"
Pfizer,base_capacity,1,"[68420000.0, 82280000.0, 80410000.0, 73590000.0, 76780000.0, 64570000.00000001, 48400000.00000001, 45980000.0, 46640000.00000001, 47080000.00000001]"
Sanofi,base_capacity,1,"[99550000.00000001, 128700000.00000001, 144100000.0, 143000000.0, 143000000.0, 140800000.0, 109890000.00000001, 108130000.00000001, 110000000.00000001, 112200000.00000001]"
Serum_Institute,base_capacity,1,"[876700000.0000001, 899800000.0000001, 939400000.0000001, 870100000.0000001, 898700000.0000001, 899800000.0000001, 592900000.0, 682000000.0, 606100000.0, 639100000.0]"
