Row Labels,Max of Value
DT,79652097
BB_NCIPD,79652097
4,79652097
8,79652097
9,4291078.615
10,4291078.615
DTwP,190380000
Biological_E,190380000
4,174247200.7
8,174247200.7
9,190380000
10,190380000
HepB,62560728
LG_Chem,62560728
4,62560728
8,62560728
9,47580000
10,47580000
Hexa,162900000
Sanofi,162900000
1,54300000
1,54300000
2,108600000
3,108600000
4,162900000
8,162900000
HPV,55770000
China_National,17004189.18
1,7283277.536
1,1473677.321
5,7283277.536
2,2755411.033
3,2755411.033
4,17004189.18
8,17004189.18
9,9060000
10,9060000
Merck_Sharp,55770000
1,53220998.46
5,53220998.46
4,55770000
8,55770000
9,37180000
10,37180000
IPV,88230000
AJ_Vaccines,13374000
1,4458000
1,4458000
2,8916000
3,8916000
4,13374000
8,13374000
Bilthoven,20880000
1,6960000
1,6960000
2,13920000
3,13920000
4,20880000
8,20880000
LG_Chem,88230000
1,4758000
1,4758000
2,23790000
3,23790000
4,88230000
8,88230000
Sanofi,780000
4,780000
8,780000
OPV,275400000
Bharat_Biotech,113724000
1,4566000
1,4566000
2,22830000
3,22830000
4,113724000
8,113724000
9,3276000
10,3276000
China_National,41060322.68
1,41060322.68
1,7700322.679
5,41060322.68
2,16680000
3,16680000
4,31812000
8,31812000
9,8340000
10,8340000
Haffkine_Bio,275400000
1,61200000
1,61200000
2,122400000
3,122400000
4,275400000
8,275400000
9,116280000
10,116280000
Panacea_Biotec,241602804
1,48341629.51
1,48341629.51
2,108720000
3,108720000
4,241602804
8,241602804
PT_Bio,38460000
1,25200000
1,8400000
3,25200000
2,16800000
3,16800000
4,38460000
8,38460000
9,16800000
10,16800000
Sanofi,259170000
1,5430000
1,5430000
2,27150000
3,27150000
4,259170000
8,259170000
PCV,186600000
Pfizer,186600000
1,111960000
3,111960000
4,186600000
8,186600000
9,74640000
10,74640000
Penta,363232799.3
Biological_E,363232799.3
1,300600000
1,100200000
3,300600000
2,200400000
3,200400000
4,363232799.3
8,363232799.3
LG_Chem,190320000
1,47580000
1,47580000
2,95160000
3,95160000
4,190320000
8,190320000
9,1876239.192
10,1876239.192
Panacea_Biotec,193277196
1,11454370.49
1,11454370.49
2,27180000
3,27180000
4,193277196
8,193277196
PT_Bio,14580000
1,5040000
1,840000
3,5040000
2,4200000
3,4200000
4,14580000
8,14580000
Rotavirus,178020000
Bharat_Biotech,178020000
1,45660000
1,45660000
2,91320000
3,91320000
4,178020000
8,178020000
9,89994000
10,89994000
Td,264120000
BB_NCIPD,156000000
1,31200000
1,31200000
2,62400000
3,62400000
4,156000000
8,156000000
9,62400000
10,62400000
Biological_E,264120000
1,60120000
1,10020000
3,60120000
2,50100000
3,50100000
4,264120000
8,264120000
9,200400000
10,200400000
PT_Bio,15900000
4,14160000
8,14160000
9,15900000
10,15900000
TT,15600000
BB_NCIPD,15600000
1,3120000
1,3120000
2,15600000
3,15600000
4,13947903
8,13947903
9,6312680
10,6312680
Grand Total,363232799.3
