vaccine,producer,time,X_val
PCV,Pfizer,6,0.7205006823122138
PCV,Pfizer,2,0.6807055864868299
PCV,Pfizer,10,0.7066230139846783
PCV,Pfizer,9,0.7069396760268902
PCV,Pfizer,8,0.7075738523179437
DTwP-Hib,Serum_Institute,5,5201.0
DTwP-Hib,Serum_Institute,4,5201.0
DTwP-Hib,Serum_Institute,6,5201.0
DTwP-Hib,Serum_Institute,7,5201.0
DTwP-Hib,Serum_Institute,2,5201.0
DTwP-Hib,Serum_Institute,8,5201.0
DTwP-Hib,Serum_Institute,3,5201.0
DTwP-Hib,Serum_Institute,1,5201.0
IPV,LG_Chem,5,112350.0
IPV,LG_Chem,4,89880.0
IPV,LG_Chem,6,134820.0
IPV,LG_Chem,7,157290.00000000006
IPV,LG_Chem,2,60000.0
IPV,LG_Chem,9,202230.0
IPV,LG_Chem,8,179759.99999999994
IPV,LG_Chem,3,67410.0
IPV,LG_Chem,1,60100.0
IPV,Bilthoven,5,60100.0
IPV,Bilthoven,7,60100.0
IPV,Bilthoven,2,60100.0
IPV,Bilthoven,10,60000.0
IPV,Bilthoven,9,60100.0
IPV,Bilthoven,3,60100.0
IPV,Bilthoven,1,60100.0
IPV,AJ_Vaccines,5,60100.0
IPV,AJ_Vaccines,7,60100.0
IPV,AJ_Vaccines,2,60100.0
IPV,AJ_Vaccines,10,240425.35441000003
IPV,AJ_Vaccines,9,60100.0
IPV,AJ_Vaccines,3,60100.0
IPV,AJ_Vaccines,1,60100.0
Hexa,Sanofi,5,9730.0
Hexa,Sanofi,4,9730.0
Hexa,Sanofi,6,9730.0
Hexa,Sanofi,7,7924.0
Hexa,Sanofi,2,9730.0
Hexa,Sanofi,10,9730.0
Hexa,Sanofi,9,9646.0
Hexa,Sanofi,8,8897.0
Hexa,Sanofi,3,9730.0
Hexa,Sanofi,1,9730.0
HPV,China_National,10,15749.060000000001
HPV,China_National,9,25326.0
HPV,Merck_Sharp,4,0.19962342986919449
HPV,Merck_Sharp,6,0.1904198059165607
HPV,Merck_Sharp,10,9800.0
HPV,Merck_Sharp,9,9800.0
HPV,Merck_Sharp,8,3781.684956764191
DT,BB_NCIPD,4,11830.0
DT,BB_NCIPD,6,11830.0
DT,BB_NCIPD,7,11830.0
DT,BB_NCIPD,2,2506.0
DT,BB_NCIPD,10,11830.0
DT,BB_NCIPD,8,11830.0
DT,BB_NCIPD,3,3409.0
DT,BB_NCIPD,1,1183.0
DT,PT_Bio,5,28688.0
DT,PT_Bio,6,31412.0
DT,PT_Bio,10,60100.0
Td,Serum_Institute,10,5201.0
Td,Serum_Institute,9,5201.0
Td,BB_NCIPD,5,1183.0
Td,BB_NCIPD,4,11830.0
Td,BB_NCIPD,6,11830.0
Td,BB_NCIPD,7,11830.0
Td,BB_NCIPD,2,11830.0
Td,BB_NCIPD,10,11830.0
Td,BB_NCIPD,9,4991.0
Td,BB_NCIPD,8,11830.0
Td,BB_NCIPD,3,11830.0
Td,BB_NCIPD,1,11830.0
Td,Biological_E,4,25138.0
Td,Biological_E,6,21787.0
Td,Biological_E,2,3924.0
Td,Biological_E,10,21787.0
Td,Biological_E,9,38313.0
Td,Biological_E,3,9251.0
Td,Biological_E,1,4327.0
Td,PT_Bio,5,3021.9999999999927
Td,PT_Bio,4,25368.000000000007
Td,PT_Bio,7,12684.0
Td,PT_Bio,2,12684.0
Td,PT_Bio,10,3021.9999999999927
Td,PT_Bio,8,44394.00000000001
Td,PT_Bio,3,19026.0
Rotavirus,Bharat_Biotech,5,60100.0
Rotavirus,Bharat_Biotech,7,57400.0
Rotavirus,Bharat_Biotech,2,60100.0
Rotavirus,Bharat_Biotech,10,71400.0
Rotavirus,Bharat_Biotech,9,60100.0
Rotavirus,Bharat_Biotech,8,2700.0
Rotavirus,Bharat_Biotech,3,60100.0
Rotavirus,Bharat_Biotech,1,60100.0
Rotavirus,GSK,4,23700.0
Rotavirus,GSK,6,36400.0
Rotavirus,GSK,7,36400.0
Rotavirus,GSK,2,6360.0
Rotavirus,GSK,10,36400.0
Rotavirus,GSK,9,36400.0
Rotavirus,GSK,8,23700.0
Rotavirus,GSK,1,30040.0
TT,BB_NCIPD,4,9464.0
TT,BB_NCIPD,6,11830.0
TT,BB_NCIPD,7,11571.0
TT,BB_NCIPD,10,10500.0
TT,PT_Bio,6,6640.0
TT,PT_Bio,7,31710.0
TT,PT_Bio,10,297.9999999999782
TT,PT_Bio,9,15408.000000000007
TT,PT_Bio,8,6341.999999999993
Penta,Serum_Institute,5,2600.5
Penta,Serum_Institute,4,2080.399999999998
Penta,Serum_Institute,6,3120.600000000002
Penta,Serum_Institute,7,3640.7000000000007
Penta,Serum_Institute,2,1040.1999999999998
Penta,Serum_Institute,8,4160.799999999999
Penta,Serum_Institute,3,1560.3000000000002
Penta,Serum_Institute,1,520.1000000000004
Penta,LG_Chem,5,224700.0
Penta,LG_Chem,4,224700.0
Penta,LG_Chem,6,224700.0
Penta,LG_Chem,7,224700.0
Penta,LG_Chem,2,209640.0
Penta,LG_Chem,10,224700.0
Penta,LG_Chem,9,224700.0
Penta,LG_Chem,8,224700.0
Penta,LG_Chem,3,224700.0
Penta,LG_Chem,1,60100.0
Penta,Panacea_Biotec,5,115350.0
Penta,Panacea_Biotec,4,116900.0
Penta,Panacea_Biotec,6,116900.0
Penta,Panacea_Biotec,7,116900.0
Penta,Panacea_Biotec,2,116900.0
Penta,Panacea_Biotec,10,116900.0
Penta,Panacea_Biotec,9,116900.0
Penta,Panacea_Biotec,8,116900.0
Penta,Panacea_Biotec,3,116900.0
Penta,Panacea_Biotec,1,60100.0
Penta,Biological_E,5,53270.0
Penta,Biological_E,4,53270.0
