index,demand,probability,sid,portfolio,portfolio_probability
Diphtheria,"[621157300, 776863900, 969997600, 758313000, 1017975900, 1069738400, 1303157100, 1800836500, 1024080500, 2002108900]",0.20200000000000007,Diphtheria_S4,1,0.150035145265737
HPV,"[27408100, 36795300, 44960900, 42153100, 54014700, 57247900, 67205500, 74837800, 78713600, 88601800]",0.16000000000000003,HPV_S1,1,0.150035145265737
Hepatitis_B,"[367899800, 397096100, 371863600, 396265400, 481334800, 460819700, 394718400, 307416400, 352012500, 467247100]",0.2440000000000001,Hepatitis_B_S2,1,0.150035145265737
Hib,"[292457000, 315010000, 326207300, 332843200, 350062400, 362530200, 399440500, 394371600, 351868000, 351641500]",0.19200000000000006,Hib_S4,1,0.150035145265737
Measles,"[469022600, 633948600, 381948400, 508862000, 957005600, 762304000, 903004600, 879614900, 493894200, 804120000]",0.14,Measles_S5,1,0.150035145265737
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.2380000000000001,Mumps_S1,1,0.150035145265737
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.18000000000000005,PCV_S3,1,0.150035145265737
Pertussis,"[355092700, 355017700, 382913500, 346050200, 324302200, 373866000, 390207300, 358433200, 438275500, 333775300]",0.21400000000000008,Pertussis_S4,1,0.150035145265737
Polio,"[674623000, 620549000, 675000300, 664288500, 754280400, 831403500, 798232300, 929329300, 980424200, 648707300]",0.18200000000000005,Polio_S3,1,0.150035145265737
Rotavirus,"[176924600, 219261400, 246960500, 200506000, 250245900, 309212600, 359689500, 642248900, 549276900, 702456800]",0.19600000000000006,Rotavirus_S1,1,0.150035145265737
Rubella,"[375199800, 541952100, 425153100, 568072300, 445714300, 717977700, 625043900, 769890300, 719103700, 840127000]",0.18000000000000005,Rubella_S1,1,0.150035145265737
Tetanus,"[672351500, 590469300, 656691100, 703561500, 620699400, 717145500, 701327800, 801694700, 729172700, 864030400]",0.15000000000000002,Tetanus_S5,1,0.150035145265737
Diphtheria,"[621157300, 776863900, 969997600, 758313000, 1017975900, 1069738400, 1303157100, 1800836500, 1024080500, 2002108900]",0.20200000000000007,Diphtheria_S4,2,0.5178083541321606
HPV,"[26621500, 38049900, 42725200, 46993500, 54230900, 60065400, 65293500, 74388900, 68226900, 92640900]",0.17600000000000005,HPV_S4,2,0.5178083541321606
