unit,values,type,pair_idx,pair,pair_probability
Diphtheria,"[654233900 836474800 765804800 925613800 851169600 917181600 1346325300
 1152974500 669109400 -2147483648]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
HPV,"[26621500 38049900 42725200 46993500 54230900 60065400 65293500 74388900
 68226900 92640900]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Hepatitis_B,"[363112900 315988000 433055200 395040000 471817400 361261800 403415800
 437080000 512217000 499379600]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Hib,"[308462400 308564000 317849200 348113400 353835500 364190100 361704000
 387351100 363068900 408753500]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Measles,"[520688600 599384600 741765500 584291600 610795400 751325700 699010900
 831020100 825941600 1061105100]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Mumps,"[25298900 35825600 28309600 34167200 56941500 34282800 52971000 61662700
 54703300 79141000]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
PCV,"[217608200 267216900 253205600 301483300 300469200 342484400 447616200
 324915700 327715900 505043600]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Pertussis,"[330913600 348707600 372077900 358905200 359328000 361641600 392197100
 366714000 428874500 446770700]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Polio,"[674623000 620549000 675000300 664288500 754280400 831403500 798232300
 929329300 980424200 648707300]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Rotavirus,"[185622400 219556000 256011100 228026000 455555300 366778100 385080400
 482266900 714517200 1041382600]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Rubella,"[375199800 541952100 425153100 568072300 445714300 717977700 625043900
 769890300 719103700 840127000]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Tetanus,"[629499200 631449500 590716800 662222000 654131200 630990900 743740500
 701074300 765625500 736675300]",antigen,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
AJ_Vaccines,"[7711003.0 7711003.0 7711003.0 7711003.0 7711003.0 7711003.0 7711003.0
 7711003.0 7711003.0 7711003.0]",manufacturer,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
BB_NCIPD,"[39223956.0 39223956.0 39223956.0 39223956.0 39223956.0 39223956.0
 39223956.0 39223956.0 39223956.0 39223956.0]",manufacturer,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Bharat_Biotech,"[61029105.0 61029105.0 61029105.0 61029105.0 61029105.0 61029105.0
 61029105.0 61029105.0 61029105.0 61029105.0]",manufacturer,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
Bilthoven,"[12048153.0 12048153.0 12048153.0 12048153.0 12048153.0 12048153.0
 12048153.0 12048153.0 12048153.0 12048153.0]",manufacturer,1,Demand: 20 - Capacity: base_capacity,0.17434220771485306
