manufacturer,capacity_scenario,capacity_scenario_probability,capacity
AJ_Vaccines,base_capacity,0.8418,"[7711003, 7711003, 7711003, 7711003, 7711003, 7711003, 7711003, 7711003, 7711003, 7711003]"
BB_NCIPD,base_capacity,0.8418,"[39223956, 39223956, 39223956, 39223956, 39223956, 39223956, 39223956, 39223956, 39223956, 39223956]"
Bharat_Biotech,base_capacity,0.8418,"[61029105, 61029105, 61029105, 61029105, 61029105, 61029105, 61029105, 61029105, 61029105, 61029105]"
Bilthoven,base_capacity,0.8418,"[12048153, 12048153, 12048153, 12048153, 12048153, 12048153, 12048153, 12048153, 12048153, 12048153]"
Biological_E,base_capacity,0.8418,"[164885690, 164885690, 164885690, 164885690, 164885690, 164885690, 164885690, 164885690, 164885690, 164885690]"
China_National,base_capacity,0.8418,"[12812242, 12812242, 12812242, 12812242, 12812242, 12812242, 12812242, 12812242, 12812242, 12812242]"
GSK,base_capacity,0.8418,"[226762686, 226762686, 226762686, 226762686, 226762686, 226762686, 226762686, 226762686, 226762686, 226762686]"
Haffkine_Bio,base_capacity,0.8418,"[80972855, 80972855, 80972855, 80972855, 80972855, 80972855, 80972855, 80972855, 80972855, 80972855]"
LG_Chem,base_capacity,0.8418,"[43702188, 43702188, 43702188, 43702188, 43702188, 43702188, 43702188, 43702188, 43702188, 43702188]"
Merck_Sharp,base_capacity,0.8418,"[56991052, 56991052, 56991052, 56991052, 56991052, 56991052, 56991052, 56991052, 56991052, 56991052]"
PT_Bio,base_capacity,0.8418,"[45911731, 45911731, 45911731, 45911731, 45911731, 45911731, 45911731, 45911731, 45911731, 45911731]"
Panacea_Biotec,base_capacity,0.8418,"[10874165, 10874165, 10874165, 10874165, 10874165, 10874165, 10874165, 10874165, 10874165, 10874165]"
Pfizer,base_capacity,0.8418,"[83916974, 83916974, 83916974, 83916974, 83916974, 83916974, 83916974, 83916974, 83916974, 83916974]"
Sanofi,base_capacity,0.8418,"[87429432, 87429432, 87429432, 87429432, 87429432, 87429432, 87429432, 87429432, 87429432, 87429432]"
Serum_Institute,base_capacity,0.8418,"[587114096, 587114096, 587114096, 587114096, 587114096, 587114096, 587114096, 587114096, 587114096, 587114096]"
AJ_Vaccines,IPV_Shortage,0.0173,"[7711003, 7711003, 7094122, 6939902, 7479673, 7711003, 7711003, 7711003, 7711003, 7711003]"
BB_NCIPD,IPV_Shortage,0.0173,"[39223956, 39223956, 39223956, 39223956, 39223956, 39223956, 39223956, 39223956, 39223956, 39223956]"
Bharat_Biotech,IPV_Shortage,0.0173,"[61029105, 61029105, 61029105, 61029105, 61029105, 61029105, 61029105, 61029105, 61029105, 61029105]"
Bilthoven,IPV_Shortage,0.0173,"[12048153, 12048153, 11084301, 10843338, 11686709, 12048153, 12048153, 12048153, 12048153, 12048153]"
Biological_E,IPV_Shortage,0.0173,"[164885690, 164885690, 164885690, 164885690, 164885690, 164885690, 164885690, 164885690, 164885690, 164885690]"
China_National,IPV_Shortage,0.0173,"[12812242, 12812242, 12812242, 12812242, 12812242, 12812242, 12812242, 12812242, 12812242, 12812242]"
